Column_Name,Data_Type,Scientific_Family,Schema_Role,V1_Prediction_Time_Class,Experimental_Coverage_n,Experimental_Coverage_pct,CORE_M2,Pilot_M2_Action,Source_Type,Preprocessing,Potential_Leakage,Scientific_Justification,V2_Review_Status
Row_Role,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,26,37.681,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Target_Review_Status,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,25,36.232,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Schema_Review_Status,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,18,26.087,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Parent_Experiment_ID,object,IDENTITY_GROUPING,GROUPING_ONLY,GROUPING_ONLY,64,92.754,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,A grouping key would expose dependence or study/material identity.,V1_PRECEDENT_RECONFIRMED
ML_Condition_ID,object,IDENTITY_GROUPING,IDENTIFIER_ONLY,IDENTIFIER_ONLY,69,100.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"The identifier can memorize paper, material, condition, or observation identity.",V1_PRECEDENT_RECONFIRMED
Observation_ID,object,IDENTITY_GROUPING,IDENTIFIER_ONLY,IDENTIFIER_ONLY,69,100.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"The identifier can memorize paper, material, condition, or observation identity.",V1_PRECEDENT_RECONFIRMED
Data_Origin,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,69,100.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Observation_Role,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,69,100.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Deformation_Stage_ID,object,IDENTITY_GROUPING,IDENTIFIER_ONLY,IDENTIFIER_ONLY,0,0.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"The identifier can memorize paper, material, condition, or observation identity.",V1_PRECEDENT_RECONFIRMED
Grouping_Review_Required,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,69,100.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Grouping_Confidence,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,69,100.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Grouping_Reason,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,43,62.319,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Recovered_Grain_size_um,float64,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,8,11.594,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Recovered_ISFE_DFT_0K_mJ_m2,float64,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,0,0.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Recovered_DeltaG_FCC_HCP_300K_J_mol,float64,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,3,4.348,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Recovered_YS_MPa,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,9,13.043,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
Recovered_UTS_MPa,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
Recovered_Elongation_pct,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,5,7.246,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
Recovered_Uniform_elongation_pct,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
Recovered_Initial_FCC_fraction,float64,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,13,18.841,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Recovered_Initial_HCP_fraction,float64,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,31,44.928,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Recovered_TRIP,float64,TARGET,TARGET_ONLY,TARGET_ONLY,28,40.58,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,"The field is a target, direct target state, or target evidence.",V1_PRECEDENT_RECONFIRMED
Recovered_TWIP,float64,TARGET,TARGET_ONLY,TARGET_ONLY,29,42.029,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,"The field is a target, direct target state, or target evidence.",V1_PRECEDENT_RECONFIRMED
Recovered_Recrystallized_fraction,float64,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Recovered_SFE_assumed_for_calculation_mJ_m2,float64,PHYSICS_THERMODYNAMICS,METADATA_ONLY,METADATA_ONLY,2,2.899,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Metadata can encode paper, workflow, or extraction artifacts rather than material behavior.",V1_PRECEDENT_RECONFIRMED
Recovery_Provenance_JSON,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,7,10.145,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Target_Correction_TRIP,float64,TARGET,TARGET_ONLY,TARGET_ONLY,0,0.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,"The field is a target, direct target state, or target evidence.",V1_PRECEDENT_RECONFIRMED
Target_Correction_TWIP,object,TARGET,TARGET_ONLY,TARGET_ONLY,0,0.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,"The field is a target, direct target state, or target evidence.",V1_PRECEDENT_RECONFIRMED
Resolution_Provenance_JSON,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Effective_TRIP,float64,TARGET,TARGET_ONLY,TARGET_ONLY,37,53.623,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,"The field is a target, direct target state, or target evidence.",V1_PRECEDENT_RECONFIRMED
Effective_TWIP,float64,TARGET,TARGET_ONLY,TARGET_ONLY,36,52.174,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,"The field is a target, direct target state, or target evidence.",V1_PRECEDENT_RECONFIRMED
Study_Series_ID,object,IDENTITY_GROUPING,GROUPING_ONLY,GROUPING_ONLY,53,76.812,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,A grouping key would expose dependence or study/material identity.,V1_PRECEDENT_RECONFIRMED
Material_Parent_ID,object,IDENTITY_GROUPING,GROUPING_ONLY,GROUPING_ONLY,53,76.812,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,A grouping key would expose dependence or study/material identity.,V1_PRECEDENT_RECONFIRMED
Physical_Batch_ID,float64,IDENTITY_GROUPING,GROUPING_ONLY,GROUPING_ONLY,0,0.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,A grouping key would expose dependence or study/material identity.,V1_PRECEDENT_RECONFIRMED
Replicate_ID,float64,IDENTITY_GROUPING,GROUPING_ONLY,GROUPING_ONLY,0,0.0,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,A grouping key would expose dependence or study/material identity.,V1_PRECEDENT_RECONFIRMED
Leakage_Group_Strict,object,IDENTITY_GROUPING,GROUPING_ONLY,GROUPING_ONLY,53,76.812,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,A grouping key would expose dependence or study/material identity.,V1_PRECEDENT_RECONFIRMED
Leakage_Group_Material,object,IDENTITY_GROUPING,GROUPING_ONLY,GROUPING_ONLY,53,76.812,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,A grouping key would expose dependence or study/material identity.,V1_PRECEDENT_RECONFIRMED
Parent_Linkage_Status,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,5,7.246,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Aggregate_Property_Status,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,8,11.594,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Parent_ML_Condition_ID,object,IDENTITY_GROUPING,GROUPING_ONLY,GROUPING_ONLY,52,75.362,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,A grouping key would expose dependence or study/material identity.,V1_PRECEDENT_RECONFIRMED
YS_mean,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,18,26.087,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
YS_uncertainty,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,10,14.493,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
UTS_mean,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,19,27.536,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
UTS_uncertainty,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,10,14.493,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
TE_mean,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,19,27.536,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
TE_uncertainty,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,10,14.493,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
UE_mean,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,5,7.246,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
UE_uncertainty,float64,MECHANICAL_RESPONSE,LEAKAGE_MECHANICAL_OUTCOME,MECHANICAL_OUTCOME_LEAKAGE,5,7.246,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is an outcome of the same tensile test whose mechanisms are predicted.,V1_PRECEDENT_RECONFIRMED
Replicate_n,float64,IDENTITY_GROUPING,GROUPING_ONLY,GROUPING_ONLY,26,37.681,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,A grouping key would expose dependence or study/material identity.,V1_PRECEDENT_RECONFIRMED
uncertainty_type,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,10,14.493,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
P008_Record_Role,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
P008_Legacy_Mapping_Status,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
P008_Source_State,object,PROCESSING,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Recovered_Bulk_Composition_at_pct,object,CHEMISTRY,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Recovered_Composition_Status,object,CHEMISTRY,PROVENANCE_ONLY,PROVENANCE_ONLY,21,30.435,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Recovered_Processing_route,object,PROCESSING,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,9,13.043,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Recovered_Test_T_Reported,object,TEST_CONDITIONS,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,12,17.391,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Recovered_Test_T_Status,object,TEST_CONDITIONS,PROVENANCE_ONLY,PROVENANCE_ONLY,12,17.391,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Recovered_Grain_size_scope,object,INITIAL_MICROSTRUCTURE,PROVENANCE_ONLY,PROVENANCE_ONLY,16,23.188,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Recovered_Grain_size_status,object,INITIAL_MICROSTRUCTURE,PROVENANCE_ONLY,PROVENANCE_ONLY,9,13.043,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Recovered_Initial_HCP_status,object,INITIAL_MICROSTRUCTURE,PROVENANCE_ONLY,PROVENANCE_ONLY,27,39.13,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Initial_BCC_alpha_martensite_fraction,float64,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,3,4.348,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Initial_BCC_alpha_martensite_status,object,INITIAL_MICROSTRUCTURE,PROVENANCE_ONLY,PROVENANCE_ONLY,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Recovered_Recrystallized_fraction_status,object,INITIAL_MICROSTRUCTURE,PROVENANCE_ONLY,PROVENANCE_ONLY,9,13.043,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Recovered_YS_status,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Recovered_UTS_status,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Recovered_Uniform_elongation_status,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
SFE_scope,object,PHYSICS_THERMODYNAMICS,PROVENANCE_ONLY,PROVENANCE_ONLY,9,13.043,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
SFE_value_alloy_level_mJ_m2,float64,PHYSICS_THERMODYNAMICS,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,6,8.696,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
SFE_status,object,PHYSICS_THERMODYNAMICS,PROVENANCE_ONLY,PROVENANCE_ONLY,9,13.043,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
SFE_source_provenance,object,PHYSICS_THERMODYNAMICS,PROVENANCE_ONLY,PROVENANCE_ONLY,9,13.043,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Alpha_lath_thickness,object,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,1,1.449,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Alpha_lath_spacing,object,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,1,1.449,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Recovery_twin_fraction,float64,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,1,1.449,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Recovery_twin_thickness,object,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,1,1.449,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Recovery_twin_spacing_observed,object,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,1,1.449,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Recovery_twin_spacing_fraction_input_nm,float64,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,1,1.449,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Deformation_twin_width,object,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,POST_TEST_LEAKAGE,1,1.449,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is observed only after tensile deformation starts or after fracture.,V1_PRECEDENT_RECONFIRMED
Deformation_twin_spacing,object,POST_DEFORMATION_MICROSTRUCTURE,LEAKAGE_POST_TEST,POST_TEST_LEAKAGE,1,1.449,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,True,The field is observed only after tensile deformation starts or after fracture.,V1_PRECEDENT_RECONFIRMED
Precipitate_type,object,INITIAL_MICROSTRUCTURE,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,8,11.594,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
APT_local_composition,object,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,1,1.449,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
EDS_local_composition,object,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,1,1.449,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
P008_Recovery_Provenance_JSON,object,PROVENANCE_QC,PROVENANCE_ONLY,PROVENANCE_ONLY,1,1.449,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Independent_ML_sample,object,IDENTITY_GROUPING,GROUPING_ONLY,GROUPING_ONLY,42,60.87,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,A grouping key would expose dependence or study/material identity.,V1_PRECEDENT_RECONFIRMED
Nominal_Composition_at_pct,object,CHEMISTRY,PREDICTOR_SAFE_DIRECT,PREDICTOR_SAFE_DIRECT,33,47.826,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,Direct source-supported information available before loading.,V1_PRECEDENT_RECONFIRMED
Measured_Composition_Status,object,CHEMISTRY,PROVENANCE_ONLY,PROVENANCE_ONLY,36,52.174,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Source, method, review, or QC bookkeeping can encode study and label-acquisition artifacts.",V1_PRECEDENT_RECONFIRMED
Cr_at%_uncertainty,float64,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,3,4.348,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Mn_at%_uncertainty,float64,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,3,4.348,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Fe_at%_uncertainty,float64,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,3,4.348,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Co_at%_uncertainty,float64,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,3,4.348,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
Ni_at%_uncertainty,float64,CHEMISTRY,PREDICTOR_SAFE_CONDITIONAL,PREDICTOR_SAFE_CONDITIONAL,3,4.348,False,EXCLUDE,SOURCE_OR_QC_METADATA,Not used in Pilot M2,False,"Safe only after method, scope, timing, or availability control.",V1_PRECEDENT_RECONFIRMED
